id,summary,status,owner,type,component,version
13429,GeoDjango tutorial model should be WorldBorder(singular) instead of WorldBorders(plural),closed,jbronn,Bug,GIS,master
13427,verbose_name and verbose_name_plural is untranslated on autogenerated m2m models,new,ramiro,Bug,"Database layer (models, ORM)",master
13421,FormWizard Documentation doesn't mention that POST params' names change,closed,nobody,Bug,Documentation,1.1
13408,Unpacking list/tuple in for loop should raise exception on unpacking if length is different,closed,e0ne,Bug,Template system,master
13401,Forms RadioInput produces invalid HTML,closed,nobody,Bug,Forms,1.1
13400,model.DoesNotExist exception raised by QuerySet.get() should include the same nice description of parameters that the MultipleObjectsReturned exception does.,closed,trentm,Bug,"Database layer (models, ORM)",
13394,django.contrib.auth.tests fail with custom Authentication Backends,closed,nobody,Bug,contrib.auth,master
13385,Wrong behavior for textarea tag render,closed,nobody,Bug,Forms,1.1
13383,Querysets should only allow the correct model types to be filtered against,closed,,Bug,"Database layer (models, ORM)",master
13344,"Name collision for ""next"" template variable between contrib.comments and views.generic.list_detail",closed,nobody,Bug,contrib.comments,1.2-beta
13342,MultiValueField - incorrectly use 'required' attribute of MultiValueField for child field validation,closed,nobody,Bug,Forms,master
13339,Date(Time)Field.to_python() fails to parse localized month names,new,nobody,Bug,Forms,1.1
13322,Problem with inspectdb and encoding,closed,nobody,Bug,Core (Management commands),1.2-beta
13314,"""FileField"" validation does not account for ""upload_to"" when counting characters",closed,nobody,Bug,Forms,1.1
13313,Custom Default Manager with extra __init__ arguments fails if model is used in a ManyToManyField,new,nobody,Bug,"Database layer (models, ORM)",master
13299,Handicapped objects passed to models signals during loaddata,closed,nobody,Bug,Documentation,1.2-beta
13296,order_with_respect_to fails to correctly track _order after deleting entries,new,nobody,Bug,"Database layer (models, ORM)",1.1
13285,"Generic views call populate_xheaders, which breaks caching",closed,ambv,Bug,Core (Cache system),1.1
13280,postgresql exclude issue,closed,nobody,Bug,"Database layer (models, ORM)",1.1
13260,urlresolvers.reverse() generates invalid URLs when an argument contains % character,closed,aaugustin,Bug,Core (URLs),master
13249,Feature request: ModelForm validation error handling after commit=False,closed,nobody,Bug,Forms,master
