subject,tag,file,lineno,NBC,experience-based,statistics-based,tuning machine
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\template.py,435,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\template.py,455,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\template.py,460,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\template.py,476,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\template.py,498,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\template.py,515,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\template.py,526,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\template.py,535,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\template.py,554,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\template.py,560,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\template.py,579,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\template.py,584,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\template.py,600,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\template.py,615,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\template.py,635,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\testing.py,107,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\testing.py,137,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\testing.py,326,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\testing.py,414,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\testing.py,529,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\testing.py,572,1,0,0,0
tornado,v4.2.0,C:\Users\Zhifei Chen\Desktop\pysmell\subject_raw\tornado\tornado\tornado\util.py,28,1,0,0,0
