ID,Title,Created At,Closed At
3166,"subplot(x, x, 0) should raise Exception",2014-06-29T17:34:54Z,2014-07-11T16:28:39Z
3117,Qt4 backend using unichr() in python3,2014-06-05T21:55:10Z,2014-06-10T12:44:44Z
3095,Memory issue when plotting large arrays with pcolormesh,2014-05-30T12:27:49Z,2015-01-31T18:15:45Z
3091,set_xlim() crashes kernel if interpolation='none',2014-05-27T21:54:51Z,2014-06-01T13:18:39Z
3059,scatter drops points if xscale is activated TOO LATE,2014-05-13T12:10:00Z,
3057,DPI-connected bug of imshow when using multiple masked arrays,2014-05-10T19:40:21Z,2016-02-18T02:36:03Z
3028,Import error QT4 backend with python3.2.3,2014-04-30T20:40:55Z,2014-05-03T23:41:29Z
3026,Bug in matplotlib.mlab.levypdf,2014-04-30T17:15:22Z,2014-05-03T14:49:05Z
3023,contourf hatching and saving to pdf,2014-04-29T14:25:24Z,2016-11-14T21:51:02Z
3020,Polygons from contour patches don't capture vertices,2014-04-28T17:23:12Z,
2980,get_window_extent method for an image object gives all zeros,2014-04-15T04:26:45Z,2014-11-30T15:13:12Z
2973,Clabel and Setting Axis Limits,2014-04-11T14:29:23Z,
2964,line style rendering error,2014-04-09T19:21:25Z,2014-04-11T00:55:19Z
2963,Segmentation Fault on adding BBoxImage to matshow,2014-04-09T01:58:49Z,2014-06-04T17:41:29Z
2941,Order of ax.spines[].set_position() and ax.yaxis.set_major_formatter() produces different results,2014-03-29T21:27:02Z,2014-06-02T12:15:33Z
2935,Non-accurate placing of images from plt.imshow in PDF output,2014-03-28T14:15:00Z,
2842,matplotlib.tests.test_basic.test_override_builtins() fails with Python >=3.4,2014-02-25T19:28:07Z,2016-05-22T04:55:58Z
2827,polar rgb imshow xticks issue,2014-02-21T13:30:34Z,
2823,Remove spacing between polygons,2014-02-20T09:03:08Z,
2808,BUG: master has broken some 3d plots,2014-02-13T08:04:57Z,2014-03-08T03:42:16Z
2792,Disable legend on matplotlib.axes instance,2014-02-05T20:33:44Z,2014-02-10T11:49:44Z
2790,zooming problem on figures with shared axes,2014-02-05T09:06:29Z,
2732,AttributeError: 'Patch3DCollection' object has no attribute 'set_sizes',2014-01-15T09:29:14Z,2014-01-29T14:42:54Z
2722,limited number of grid lines in matplotlib?,2014-01-12T00:11:58Z,2017-01-08T19:33:53Z
2688,Deleting axis in matplotlib > v1.2.1 does not work similar to v1.1.1,2013-12-18T15:08:16Z,2014-06-11T16:58:27Z
2675,clip_on = False does not work for x-axis,2013-12-12T04:53:37Z,2014-01-28T09:50:34Z
2616,Quiver does not _init with animated=True and quiverkey attached,2013-11-26T18:06:28Z,2014-02-25T14:22:49Z
2602,stem function with datetime argument does not work in 1.3.1,2013-11-19T11:05:55Z,2014-05-16T19:57:06Z
2556,Quiver leaks memory when called multiple times,2013-10-28T20:44:16Z,2014-01-27T16:39:13Z
2533,"Bug in mplot3D with PolyCollection: (0, 0) data point is always inserted into the data set.",2013-10-21T12:50:12Z,2014-07-12T21:46:09Z
2525,cfl() doesn't clear gcf()._suptitle,2013-10-16T19:08:50Z,2014-01-09T10:46:57Z
2517,PDF output does not respect zorder when using imshow,2013-10-14T07:54:31Z,2015-07-17T04:00:49Z
2492,subplots() shared scale is off,2013-10-03T13:48:01Z,2014-06-06T12:50:17Z
2425,DOC: `axis_off` wrongfuly appears as a parameter to Figure.add_subplot,2013-09-16T09:46:01Z,2013-09-27T14:49:28Z
2423,Off-axes markers unnecessarily saved to PDF,2013-09-13T22:22:23Z,2014-01-09T13:31:35Z
2418,"AssertionError with quiver, quiverkey, and an additional patch.",2013-09-12T14:31:44Z,2013-09-27T14:50:11Z
2394,AnchoredSizeBar does not respect FontProperties size setting.,2013-09-09T02:33:42Z,2014-07-06T21:22:38Z
2355,Type Error in bar3d plot when saved as svg,2013-08-29T15:30:24Z,2014-08-17T22:03:09Z
2341,"PatchCollection doesn't properly handle FancyArrowPatch, breaking StreamplotSet.arrows",2013-08-24T07:03:14Z,
2337,pylot tutorial's codes are missing statements,2013-08-23T17:31:44Z,2013-08-26T15:10:43Z
2329,set_position on Annotation is not working,2013-08-22T12:38:19Z,2013-11-27T08:21:09Z
2299,Mollweide projection no longer shows horizontal gridlines,2013-08-15T17:38:24Z,2013-08-27T14:46:45Z
2296,rc defaults incorrectly interpreted by colorbar,2013-08-14T20:23:16Z,2013-08-29T01:42:09Z
2294,tex option not respected by date x-axis,2013-08-13T05:11:32Z,
2229,Matplotlib does not display hatching when rendering to pdf in fill_between,2013-07-18T14:11:09Z,2013-09-05T12:29:47Z
2197,pyplot.errorbar: problem with some shapes of the positional arguments,2013-07-02T23:30:35Z,2014-04-28T17:17:57Z
2187,Building documentation from the tarball fails,2013-07-01T13:57:12Z,2013-07-19T16:20:00Z
2113,hist() bottom line now showing (regression?),2013-06-02T11:45:45Z,2013-06-03T18:32:23Z
2104,Bug in cbook.exception_to_str() in v 1.2,2013-05-31T15:39:23Z,2013-06-03T13:45:21Z
2035,legend marker update bug,2013-05-21T08:44:59Z,
